1,Hot spring description,multiple features for each hot spring site,> 111,"Descriptions of 111 thermal springs and wells statewide includes location, physiography, water chemistry (some sites), flow rate (some sites), and detailed description of site.","Data currently exists as unpublished data and notes and a smaller subset of published data in scanned PDF format for 111 Alaska thermal hot springs. Compile this available Alaska hot spring data in all formats (published and unpublished). Develop Excel spreadsheet format in accordance with to-be-established NGDS format to record information for each hot spring, that will include location (in elevation, lat long format), physiography, water chemistry (some sites), flow rate (some sites), and detailed description of site. Generate ArcGIS polygon and point coverages for entire data set with appropriate georeferenced map coverages. Submit entire data set with associated metadata in Excel document and  ArcGIS shape files to NGDS repository. Publish to DGGS website.",51,temp
2,Bottom hole temperature, corrected bottom hole temperature; accompanying metadata.,3048,"Well ID; elevation, lat, long of well collar; depth; date, time and type of measurement.",Create corrected BHT dataset in Excel spreadsheet format in accordance with to-be-established NGDS format. Create ArcGIS point coverages for data set with appropriate map coverages. Submit data set with associated metadata in Excel document to NGDS repository. Publish to DGGS website.,51,temp
3,Metadata,"Data records for inclusion into the NGDS, metadata will be created that conforms to the NGDS format.",> 3159,"",Metadata records will be created in table form or xml file for each data point (Hot spring and BHT) for import into NGDS catalog server. Details will be coordinated with NGDS project management. Appropriate documents for each record will be scanned and placed in web-accessible location on appropriate website (DGGS or NGDS repository); URLs will be in metadata.,51,meta
4,Development of GIS Databases and Metadata,dataset documents and corresponding metadata records,4,Basic GIS databases and metadata attributes required to support core databases developed under items 6 through 9,"Create metadata records for datasets using USGIN metadata wizard; place documents containing datasets (mdb, xls, shp) in repository.",43,meta
5,Formation Temperatures,"Well header data, geophysical temperature observations",1000 new wells; 1500 legacy data,"Well descriptors, such as bore hole name, permit number, location coordinates, surface elevation, as well as measured parameters like temperature, depth, formation, borehole diameter, fluid type, information source",Excel spreadsheet and metadata record for dataset created using USGIN metadata wizard,43,temp
6,Geochemical data,chemical analysis records for borehole fluid,100 CBM Wells; 332 analysis records from Brine wells              ,"Location, depth, physical and aggregate properties, major ionic compounds, metals, trace elements.",Excel spreadsheet and metadata record for dataset created using USGIN metadata wizard,43,wchem
7,Fault information ,active fault records,50,"Fault type, estimated total displacement, slip vector, and juxtaposed stratigraphic units, depth, source of information; date of earthquake, county, nearest town, lat/long, depth, magnitude, description, source of information","Arc GIS shapefile, Excel spreadsheet, and metadata record for dataset created using USGIN metadata wizard.",43,tect
8,Earthquake epicenter,earthquake epicenter record,250,"","",43,tect
9,Core analysis data ,physical property records,100,"Location, porosity, permeability, fluid saturation data.",Excel spreadsheet and metadata record for dataset created using USGIN metadata wizard,43,lith
10,References,metadata records,At least 3,"Author, publication date, title, publisher, pages.  Metadata content as per project recommendations.",Metadata in excel spreadsheet.,43,meta
11,Borehole lithology log dataset,Lithologic logs for selective wells to serve as formational analogs. Data will be in .xls file format. ,480,480 digital borehole lithologic log records for select boreholes that will serve as formational analogs.,Digital data files will be provided in an excel spreadsheet and/ or MS Access document.,47,lith
12,Digital well log,Digital Well Logs in LAS file formats,100,100 digital well log records for select boreholes that will serve as formational analogs.   ,Digital well log data  provided in an LAS file format. ,47,lith
13,Temperature depth log,Temperature logs will take priority over BHT E-logs and will be digitized into LAS formats.,25,25 digital temperature depth log records for select boreholes and wells that will serve as formational analogs for temperature gradient.   ,Digital data in an excel spreadsheet and /or MS Access file formats. Supporting well log .pdf image files for NGDS repository. ,47,lith
14,Document,"AGS publications containing lithologic information, stratigraphic information, and historical borehole analogs will be in .pdf format.",3,"3 documents containing well-data related to depth, lithology, significant formation, temperatures, etc. Maps of focal areas of interest. ",Digital documents will be provided in .pdf file formats.,47,meta
15,Active Fault Map,Known active fault maps of statewide coverage. Records will be in shape file format or geotifs.,4,4 maps of the active fault areas that would provide statewide coverage for Arkansas.,Digital  files in a shape file format. Supporting active fault maps will be provided in .pdf format. ,47,tect
16,Bottom hole temperature,"E-logs (SP, Res, Gamma, etc.) with BHT recordings.",250,"Scan, and process information for 250 .pdf image files of E-Logs for specific boreholes. ",Digital data in an excel spreadsheet and/ or MS Access file format. Supporting well log .pdf image files.,47,temp
